"Dimension","Mapped","Total","Validation_Coverage","Algorithm","Scenario","Fold"
24,80,80,1,"Topolow","dim10_S_missing",13
24,80,80,1,"Topolow","dim10_S_missing",14
24,80,80,1,"Topolow","dim10_S_missing",15
24,80,80,1,"Topolow","dim10_S_missing",16
24,80,80,1,"Topolow","dim10_S_missing",17
24,80,80,1,"Topolow","dim10_S_missing",18
24,80,80,1,"Topolow","dim10_S_missing",19
24,80,80,1,"Topolow","dim10_S_missing",20
10,80,80,1,"Topolow","dim10_M_missing",1
10,80,80,1,"Topolow","dim10_M_missing",2
10,80,80,1,"Topolow","dim10_M_missing",3
10,80,80,1,"Topolow","dim10_M_missing",4
10,80,80,1,"Topolow","dim10_M_missing",5
10,80,80,1,"Topolow","dim10_M_missing",6
10,80,80,1,"Topolow","dim10_M_missing",7
10,80,80,1,"Topolow","dim10_M_missing",8
10,80,80,1,"Topolow","dim10_M_missing",9
10,80,80,1,"Topolow","dim10_M_missing",10
10,80,80,1,"Topolow","dim10_M_missing",11
10,80,80,1,"Topolow","dim10_M_missing",12
10,80,80,1,"Topolow","dim10_M_missing",13
10,80,80,1,"Topolow","dim10_M_missing",14
10,80,80,1,"Topolow","dim10_M_missing",15
10,80,80,1,"Topolow","dim10_M_missing",16
10,80,80,1,"Topolow","dim10_M_missing",17
10,80,80,1,"Topolow","dim10_M_missing",18
10,80,80,1,"Topolow","dim10_M_missing",19
10,80,80,1,"Topolow","dim10_M_missing",20
6,80,80,1,"Topolow","dim10_L_missing",1
6,80,80,1,"Topolow","dim10_L_missing",2
6,80,80,1,"Topolow","dim10_L_missing",3
6,80,80,1,"Topolow","dim10_L_missing",4
6,80,80,1,"Topolow","dim10_L_missing",5
6,80,80,1,"Topolow","dim10_L_missing",6
6,80,80,1,"Topolow","dim10_L_missing",7
6,80,80,1,"Topolow","dim10_L_missing",8
6,80,80,1,"Topolow","dim10_L_missing",9
6,80,80,1,"Topolow","dim10_L_missing",10
6,80,80,1,"Topolow","dim10_L_missing",11
