"log_N","log_k0","log_cooling_rate","log_c_repulsion","Holdout_MAE","NLL"
2.173355989,2.841595568,-4.034251646,-2.728675273,0.580410323,1663.936197
1.489871001,2.645066084,-3.914528929,-3.64758508,0.611173968,1745.924737
2.090714045,2.867779701,-3.40757767,-3.280739102,0.570806703,1664.690519
1.625121429,1.984009773,-2.679168786,-3.177940927,0.631298965,1784.399083
1.940963966,2.586420965,-4.026770539,-3.076708136,0.586001956,1666.232212
1.984599751,2.490614909,-2.58760624,-3.495833782,0.571898721,1650.484803
1.653221244,1.663320692,-2.388781188,-2.981659242,0.665509622,1854.332686
1.911795432,2.546809741,-2.961395511,-2.81788956,0.574799805,1670.380509
1.680497227,2.847984214,-4.335878329,-2.874550499,0.600698265,1723.153658
2.323760574,2.617146057,-2.676104585,-2.678868914,0.587417217,1698.729139
2.255920275,2.246381131,-3.746859042,-2.741570327,0.57959562,1679.118099
2.26193418,2.124995754,-3.294319661,-2.813553602,0.581474434,1671.192332
2.457206916,2.851527035,-4.209093572,-2.903069809,0.564549326,1639.515544
2.111486646,2.028726565,-3.545952742,-3.552809898,0.568906825,1653.014947
2.434862632,2.68409663,-3.196205643,-3.64788328,0.558937013,1602.680172
1.97294103,2.813997075,-4.000699593,-2.963443507,0.587561878,1689.798394
1.633793836,2.408068644,-2.540385623,-3.010877772,0.619608897,1770.712378
1.848317351,2.651638419,-2.46133419,-3.020221367,0.611964455,1752.612378
1.480008083,2.281548349,-2.581015362,-3.240265372,0.637404997,1819.455018
1.800132624,2.871231705,-4.258431775,-2.975561369,0.579989754,1668.6286
2.306334431,2.307372138,-3.47500473,-2.776616775,0.576481742,1668.952268
1.558274403,1.79551083,-2.735141626,-2.687750298,0.644576834,1824.549531
1.965912564,2.510571625,-3.027942669,-3.038340415,0.581080654,1695.514885
1.908208962,2.619754917,-4.713410121,-3.07873357,0.581855491,1699.782296
2.021899362,2.577057056,-4.377610641,-3.362642249,0.569178156,1633.380475
1.498138708,2.312984864,-3.035019145,-2.861087224,0.618110615,1755.061912
2.228430265,2.375460307,-3.407259459,-3.22807118,0.575758355,1659.13025
2.155009748,2.525596946,-4.6220204,-2.866204635,0.538340195,1563.573059
2.295573103,1.32125033,-3.318109237,-2.760326779,0.607148399,1743.481109
1.941782731,2.485629277,-2.851870632,-2.934536328,0.569125873,1630.988657
1.800332355,2.560189107,-2.900500098,-3.553076654,0.585688206,1693.258397
1.7841377,2.833582701,-3.515780124,-3.44214207,0.597997344,1708.339431
2.22094975,2.283257028,-3.423436699,-3.102489879,0.551394789,1581.99169
1.710682371,2.835194853,-3.884796008,-3.182482063,0.60158575,1720.563353
2.198322128,2.720646464,-3.898858817,-3.216869381,0.579115109,1664.141984
1.983293814,2.3866729,-3.225704406,-2.902282305,0.566716837,1637.241188
1.568113956,2.159481382,-2.587726627,-3.568337641,0.603743462,1731.704642
2.437787892,1.948304972,-2.373948251,-2.998804172,0.613612717,1772.195895
1.439520023,2.347428503,-3.002157071,-2.875189461,0.623738377,1770.628226
1.756887716,1.915705567,-3.998400084,-2.684576798,0.606125809,1736.25011
2.103329076,2.807463024,-2.508909772,-3.218124937,0.599148993,1730.021731
2.263894151,2.233741718,-3.807072148,-2.859104213,0.559277051,1610.229388
2.468405523,1.660777839,-2.812133396,-3.305720814,0.610844773,1758.343943
2.263894151,2.233741718,-3.807072148,-2.859104213,0.559277051,1610.229388
