log_N,log_k0,log_cooling_rate,log_c_repulsion,Holdout_MAE,NLL
2.143210124,2.152857267,-3.690825304,-2.941324817,0.564319376,1612.015634
1.810765088,2.524982839,-4.282583247,-3.367789862,0.573377074,1662.199659
1.969966873,2.346725489,-3.853394636,-3.724947732,0.57392247,1663.589653
1.400932325,2.234705553,-3.229740045,-2.871763535,0.635706079,1801.9063
1.922378035,2.613438145,-4.034184502,-2.897335408,0.595190388,1727.355929
1.757935961,2.82732034,-2.928499815,-3.529881453,0.577182121,1655.860042
1.832591494,2.606115052,-2.571261954,-2.88882857,0.598341273,1726.86586
1.487849179,2.194268137,-4.706331804,-2.773698861,0.607346975,1748.736509
2.258034492,2.558052584,-4.134130546,-3.302501971,0.561764437,1617.77157
2.397590645,2.629210533,-3.220073311,-2.972224495,0.56558219,1624.215924
2.294731119,2.238651373,-3.869817275,-3.118533177,0.561451125,1622.542777
2.153231168,2.607687127,-3.129980379,-3.754699021,0.563762528,1636.356545
2.245654797,1.982960756,-3.093603353,-3.262256013,0.58384412,1681.717756
2.234207184,2.526372153,-4.080526751,-3.374084355,0.567537965,1629.207545
2.086035177,2.509382483,-4.013179258,-2.796496412,0.569222248,1644.789114
2.39319538,2.205078309,-4.229196033,-2.969607444,0.547620348,1603.732006
1.86269009,1.82750631,-3.562061164,-3.58180799,0.594991873,1706.908249
1.472467996,1.907964835,-2.708074611,-3.195887949,0.629083705,1785.46084
1.978218358,2.483281738,-3.761531607,-2.893151735,0.566361451,1640.826974
1.328325624,2.828819054,-3.496670822,-3.177882271,0.622292741,1784.326902
2.054095213,2.685798252,-2.424577312,-3.587731477,0.568485643,1641.775383
2.066985445,1.670016986,-4.836769268,-3.126075971,0.563555215,1629.101249
1.445039939,1.624466461,-2.457701519,-2.728856088,0.719946249,1992.269947
2.164256877,2.426622706,-4.454531471,-3.463835678,0.58092397,1656.016977
2.104921433,2.20780521,-4.580748754,-3.114375531,0.574673517,1664.362412
1.964787616,2.724379886,-4.060424291,-2.955890946,0.575648839,1669.121664
2.459420034,2.624477039,-3.3340274,-3.545085126,0.557047666,1616.63432
1.604490817,2.148201641,-4.086111621,-3.254988788,0.592066503,1695.065756
2.237316106,2.720014716,-2.399197119,-3.57373515,0.583129948,1685.704663
1.476124187,2.732648673,-3.560778239,-2.925722935,0.622677545,1773.037701
1.955188466,2.20377489,-3.428124489,-3.141303739,0.576413387,1664.210156
