"","V1","V2"
"V/329_16_D5",4.51354615133851,1.91061327581444
"V/330_14_A12",2.6726890738419,0.709690906027049
"V/330_14_A20",3.04325530633471,1.09540861229434
"V/330_15_C36",3.85950021067541,0.700870894607895
"V/330_15_D36",4.1528434343268,1.08252093169182
"V/330_15_E36",4.40678067190743,0.929668170504083
"V/330_16_A2",4.53392038598913,1.16447278068538
"V/330_16_D4",4.5428074258398,1.33272668998892
"V/330_16_E6",1.90923949311046,1.58709758408016
"V/330_16_H2",3.94888989155338,1.12489523716086
"V/3301_V1_C24",3.27472643295279,2.72434387018952
"V/346_F4_D2_12",3.39787183370056,1.30893661006556
"V/3637_V5_C3",3.39134902317825,6.76841261747973
"V/3873_V1_C24",3.72663760980771,2.43872493330083
"V/3988_25",1.66822528837983,1.98779138029714
"V/45_01DG5",1.51627182737089,1.93286035244765
"V/451_AT_SGA5",2.77567681736554,4.55169041900066
"V/451_TF_SGA2",2.53977655679536,2.52965743750084
"V/541_F1_A7_2",1.22248241342957,3.54393291975323
"V/556_F2_3_25",4.50936614031021,2.40631136116583
"V/569_F1_37_10",3.15984313624373,4.95984078225347
"V/5768_4",1.80253597562784,1.59687736469563
"V/6022_V7_C24",3.91168358210889,3.11712486468844
"V/6146_V7_C23",3.14313865482429,2.8538869370741
"V/62357_14_D3_4589",4.17716681576367,0.449054242135846
"V/6240_08_TA5_4622",4.41336188742815,0.693040657807855
"V/6322_V4_C1",-1.22031626835212,4.30910724987567
"V/6471_V1_C16",4.16412739236979,5.75904300409801
"V/651_AT_SGA5",2.46289539683949,3.47302894927248
"V/651_AT_SGA8",2.44965714571354,3.21756465465135
"V/651_LN_C40",2.32403483020272,2.64025251277524
"V/651_LN_C43",2.31521539797378,2.63262505743767
"V/6535_3",2.61276793824752,0.765606173009724
"V/6631_V3_C10",5.42999580832939,3.23967721381007
"V/6644_V2_C33",3.32267548483232,1.98879919668024
"V/6785_V5_C14",2.69761055396628,2.74281077874588
"V/6838_V1_C35",1.44557692769353,3.60938680500426
"V/700010040_C9_4520",2.86499988174811,1.99747578301496
"V/703010054_2A2",0.988655975462373,4.98274994897224
"V/703010131_1E2",-0.0264128222511334,4.0919030825232
"V/703010200_1E5",4.68153371664377,1.03854314926247
"V/703010217_B6",1.8708371975788,2.59841477770781
"V/704010042_2E5",0.71134865997265,3.41089370596018
"V/704809221_1B3",1.71666675522632,2.75818916161894
"V/704810053_2B7",1.0028140155845,3.87741065442115
"V/705010185_TF",0.0228701500121697,4.32740043138154
"V/722_G4_16",1.42522079101758,4.06506964891853
"V/92BR020",4.37233154868776,2.69644595560085
"V/92BR025_9",3.06143583281143,2.59081185421008
"V/92US715",1.9657935093297,0.983165672599153
"V/93IN905",3.54274924639633,2.56605011371332
"V/93MW959",1.78338095484255,3.58905295732385
"V/93TH305",3.05198146128359,0.984810039693
"V/97ZA009",2.61104449795654,2.82069287264962
"V/98_F4_H5_13",5.3721946437271,1.75242553207422
