"","V1","V2","V3","V4","V5"
"V/A/Paris/597/1992",2.67915184356925,7.62908933031036,3.84229870419744,6.32511276257989,4.25337581188557
"V/A/Paris/614/1992",2.57089704973853,5.65244442357212,3.28753099305701,5.99617262108491,4.04967636145944
"V/A/Sendai/C273/1992",4.46216817840987,6.17253853513204,8.2689609298724,4.8253935125194,9.78175901810138
"V/A/SouthAustralia/23/1992",2.51302683305879,7.46394952636686,3.46969379466949,4.68828430006056,2.48120065161974
"V/A/SouthAustralia/27/1992",3.77966851975737,7.50011368014165,2.44966116610763,5.75923760114985,4.56572775304827
"V/A/SouthAustralia/8/1992",1.80932666368982,6.71439138770543,3.60204150331093,6.26730058319255,4.25571984664561
"V/A/Stockholm/12/1992",5.75375621923838,5.36811620777998,6.95632153024574,4.28560966251443,7.47136738327268
"V/A/Stockholm/13/1992",4.281174099956,6.25780701017826,3.51988706734746,4.25425383754113,2.61180884050053
"V/A/Stockholm/7/1992",1.84550258028517,5.4043938076779,3.14825771729678,6.10935106608447,2.97418743096937
"V/A/Stockholm/8/1992",3.04829461870729,6.85780550974888,3.55398773180838,5.5168368786461,4.88580912416113
"V/A/Tilburg/5957/1992",2.98271711830833,5.87841693360352,3.67294042304593,5.54647745747041,3.71199111031024
"V/A/Umea/2000/1992",4.19151832860948,6.45150043264453,2.77455312265442,5.75634039719769,3.79503701141909
"V/A/Victoria/33/1992",3.4901431353829,5.74155490403906,3.63145981907331,4.98705841458152,3.30588440170564
"S/A/Guangdong/25/1993",10.0118229088865,4.57591898506428,6.83546596803652,3.9923131518626,7.47223326844545
"S/A/Madrid/G252/1993",7.98206786995912,5.34130979625401,7.18391512368679,6.34415490181117,6.52171411846298
"S/A/Oslo/2352/1993",6.68480315907775,5.94193053297245,7.86446827820183,4.87119916637721,7.18345087287693
"S/A/Shandong/9/1993",6.65871668273639,5.77733198437075,7.09260314616153,4.90859087067368,7.81620220093416
"V/A/Akita/4/1993",5.59443446483684,5.54427483213068,6.94977677616619,4.49675478239458,10.0239315787711
"V/A/Guangdong/25/1993",8.53606307913942,5.08881659579433,8.27280877457479,4.01697631099522,6.89238889077319
"V/A/Lyon/672/1993",5.78592482776811,6.80171128929637,8.28121893319258,4.38410959548326,7.05695653738527
"V/A/Madrid/G102/1993",5.7570598897172,5.81269230000526,8.01528640333404,5.17907759085904,7.22603078481154
"V/A/Madrid/G109/1993",7.66239577374371,5.14049553084177,6.67282027794218,4.887113148802,6.91368685092825
"V/A/Madrid/G122/1993",7.99640002022982,5.54102626293295,6.64820508861807,4.78047090442504,7.40104739065208
"V/A/Madrid/G130/1993",4.59153392919091,5.03241494241349,7.82236383955245,4.32979937213878,7.30392862981373
"V/A/Madrid/G252/1993",9.19805354718937,6.01479381357732,6.52446753348272,7.49985929698329,5.98652802560092
