"type","name","",""
"sera","A/Bilthoven/5930/1974","7.26600271190211","-7.5346217202434"
"sera","A/Scotland/840/1974","5.25486396005593","-10.2760776145193"
"sera","A/Victoria/3/1975","6.06728627567632","-5.11596640938358"
"sera","A/Amsterdam/1609/1977","4.0582304555759","-3.45296898866676"
"sera","A/Texas/1/1977","8.57365238495937","-0.976380054006258"
"sera","A/Bilthoven/2461/1978","7.46654092260655","-0.0462920902073206"
"sera","A/Bangkok/1/1979","7.55765737553777","1.33250597042322"
"sera","A/Bangkok/2/1979","5.48480596644673","0.189442601221389"
"sera","A/England/496/1980","7.5949695015234","0.958111156505575"
"sera","A/Netherlands/209/1980","7.70867690832388","-0.207089094972013"
"sera","A/Rotterdam/577/1980","8.46713931338412","0.986270185716722"
"sera","A/Netherlands/233/1982","7.39538746667235","-0.491205423871573"
"sera","A/Netherlands/241/1982","6.39440438390613","-0.0880149849154893"
"sera","A/Philipdarkgreens/2/1982","7.52951668218033","0.539962449098957"
"sera","A/Caen/1/1984","3.52130663396997","-0.000113713111450007"
"sera","A/Christchurch/4/1985","5.27134079943647","-0.0284774566224736"
"sera","A/Netherlands/330/1985","3.85962037686353","-0.0231336748997041"
"sera","A/Netherlands/333/1985","4.79381920939448","0.0424475008533907"
"sera","A/Stockholm/10/1985","3.15091007234882","0.424062199121597"
"sera","A/Wellington/4/1985","2.75868453641054","0.406528659496073"
"sera","A/Colorado/2/1986","2.90669951071992","0.761944478218078"
"sera","A/Leningrad/360/1986","4.14238307752667","0.559641289867227"
"sera","A/Shanghai/11/1987","0.865527991355068","-1.17283410295715"
"sera","A/Sichuan/2/1987","1.08806978231347","-0.791434434017343"
"sera","A/Victoria/7/1987","1.0556166970743","2.16549659015282"
"sera","A/Netherlands/450/1988","1.51526297821561","0.408155693405435"
"sera","A/Beijing/353/1989","-1.43998266535737","3.05980808584103"
"sera","A/Guizhou/54/1989","-0.243405705883973","-0.613523784436782"
"sera","A/Netherlands/620/1989","0.540167607983658","1.27049985466642"
"sera","A/HongKong/34/1990","-2.49003324123122","-0.486009799756059"
"sera","A/Victoria/2/1990","-0.214747193917339","5.13187930796208"
"sera","A/Lyon/1149/1991","-1.73852697230771","3.79025414928748"
"sera","A/Beijing/32/1992","-5.39213966746937","1.21106258630246"
"sera","A/Guangdong/25/1993","-10.5778613302108","2.03020707183288"
"sera","A/Madrid/G252/1993","-7.82100752924063","3.30873985661653"
"sera","A/Oslo/2352/1993","-6.93908033839875","1.17217734941633"
"sera","A/Shandong/9/1993","-6.56194928295675","1.23704939899156"
"sera","A/Johannesburg/33/1994","-9.7670091455546","1.89777760909538"
"sera","A/Netherlands/18/1994","-9.11310839029077","5.31774763909699"
"sera","PR/413/1994","-7.8084286597379","2.40510397058453"
"sera","A/Finland/338/1995","-9.08880718148356","2.58578964033044"
"sera","A/Geneva/AI9509/1995","-7.84225178039299","2.71878100421535"
"sera","A/Lyon/2279/1995","-9.03253316110127","4.44425634884405"
"sera","A/Nanchang/933/1995","-7.89853897402479","6.55363893939308"
"sera","A/Netherlands/1/1995","-9.26499812070203","1.48287782307761"
"sera","A/Netherlands/218/1995","-8.80397439739897","2.54388201579598"
"sera","A/Netherlands/47/1995","-8.39568925816653","3.5230087418016"
"sera","A/Wuhan/359/1995","-7.09194832392121","5.29689814783095"
"sera","A/Brisbane/8/1996","-7.61948670445513","5.5677784058132"
"sera","A/Netherlands/172/1996","-7.52545860888491","5.4538249038789"
"sera","A/Singapore/1/1996","-8.45355243218037","5.37642528611008"
"sera","A/Auckland/10/1997","-6.50099334868554","9.0204612049398"
"sera","A/Netherlands/286/1997","-6.47193096610108","5.36134566892475"
"sera","A/Sydney/5/1997","-7.24443270700662","9.93331535356389"
"sera","A/Netherlands/5/1998","-8.40246689496496","5.99325199683251"
"sera","A/Moscow/10/1999","-5.88419670720299","10.5489230899116"
"sera","A/Panama/2007/1999","-5.64211848530228","10.8683530135522"
"sera","A/Netherlands/118/2001","-6.41762188170014","9.78572704804428"
"sera","A/Netherlands/124/2001","-5.58351990397228","10.8472095465877"
"sera","A/Netherlands/126/2001","-6.27787451769005","9.43435222075205"
"sera","A/Fujian/411/2002","-1.36395082121171","11.0858346467168"
"sera","A/Netherlands/1/2002","-6.20269100967115","8.96411387373309"
"sera","A/Netherlands/22/2003","-2.55885178046453","10.8726898549945"
"sera","A/Netherlands/88/2003","-4.95937543903378","10.0271293537576"
