name,V1,V2,V3,V4,antigen,antiserum,year,cluster,color
A/Netherlands/330/1985,1.96163116,1.081152571,2.956260298,3.73036511,TRUE,FALSE,1985,BK79,green
A/Netherlands/330/1985,2.470898344,1.693609098,2.693763359,3.55264177,FALSE,TRUE,1985,BK79,green
A/Netherlands/333/1985,2.98748576,2.782984059,3.981205166,3.332499852,TRUE,FALSE,1985,BK79,green
A/Netherlands/333/1985,1.940285332,2.009735488,3.828623561,3.553341381,FALSE,TRUE,1985,BK79,green
A/Netherlands/371/1993,7.499529967,2.854485814,6.785044368,8.290145031,TRUE,FALSE,1993,BE92,pink
A/Netherlands/414/1998,8.966348359,9.993068802,9.151882448,9.745063147,TRUE,FALSE,1998,SY97,lightblue
A/Netherlands/427/1998,10.06074151,10.62078536,9.784004521,10.88396877,TRUE,FALSE,1998,SY97,lightblue
A/Netherlands/450/1988,4.814111604,3.001341117,2.393132694,2.643116329,FALSE,TRUE,1988,SI87,blue
A/Netherlands/450/1988,5.429251567,3.704403076,2.188703468,3.059963213,TRUE,FALSE,1988,SI87,blue
A/Netherlands/462/1998,9.242092716,10.18907975,9.305153977,9.662901173,TRUE,FALSE,1998,SY97,lightblue
A/Netherlands/5/1998,8.373413498,8.598881687,8.774956438,6.020055915,FALSE,TRUE,1998,WU95,darkgreen
A/Netherlands/5/1998,7.594998837,7.933496874,7.801869668,6.072389196,TRUE,FALSE,1998,WU95,darkgreen
A/Netherlands/620/1989,6.002589494,3.888739206,2.08850636,3.342406324,TRUE,FALSE,1989,SI87,blue
A/Netherlands/620/1989,4.612511954,4.406108432,2.284114486,3.351325121,FALSE,TRUE,1989,SI87,blue
A/Netherlands/650/1989,5.790992474,3.080755515,0.311107814,3.621512019,TRUE,FALSE,1989,SI87,blue
A/Netherlands/738/1989,5.431702193,2.51697646,-0.498929316,4.227393701,TRUE,FALSE,1989,SI87,blue
A/Netherlands/816/1991,4.310771762,6.824042451,3.723686672,2.229884588,TRUE,FALSE,1991,BE89,red
A/Netherlands/823/1992,4.636281154,7.583359023,4.125116099,2.886149407,TRUE,FALSE,1992,BE89,red
A/Netherlands/891/1991,4.619787798,6.646828459,3.897535487,2.662102858,TRUE,FALSE,1991,BE89,red
A/Netherlands/91/1996,7.018619401,3.69631562,6.352864646,7.640243354,TRUE,FALSE,1996,BE92,pink
A/Netherlands/935/1992,5.055426029,6.390944529,3.649992112,2.889398798,TRUE,FALSE,1992,BE89,red
A/Netherlands/938/1992,4.000680085,3.746820944,5.062293098,5.64086817,TRUE,FALSE,1992,BE92,pink
A/Nice/491/1997,9.554344663,9.177680202,7.048249574,7.293734577,TRUE,FALSE,1997,WU95,darkgreen
A/Nijmegen/3126/1992,4.854529112,7.540570039,3.906785466,2.808364974,TRUE,FALSE,1992,BE89,red
