"Holdout_MAE","NLL","log_N","log_k0","log_cooling_rate","log_c_repulsion"
1.39255571660932,366.396107095675,1.51946324742939,2.12280532615086,-3.08186027703127,-3.84320969887086
1.35881910550919,361.957138899595,1.86158862751129,2.24784239400353,-3.74688745065891,-3.79461342966893
1.40002279464246,367.364061507431,2.06663254488294,2.93597434101979,-3.25635866487852,-4.14405474035087
1.4007286348755,367.455292084724,1.42753400709497,3.36563232968294,-3.57439275800918,-4.04155788471798
1.44249251463141,372.773067651711,2.21561164725833,2.98133749557848,-4.10820948999447,-4.81800338139548
1.36554163798223,362.850398612088,1.98206906786824,2.3873473405747,-3.86952071996584,-4.18252875298621
1.38159366497064,364.965656603824,1.60139256686798,2.93127289502361,-3.70318551900342,-3.57238021466239
1.39778584933891,367.074629857351,2.19783498547314,2.28499988115084,-3.59249550115023,-3.22252476437072
1.35069161645072,360.871275005587,1.24965361257881,2.78579136794368,-3.28601120308771,-4.56274292543933
1.48864752232398,378.473748515243,2.17057126514087,3.02080174815383,-4.51259960724642,-4.74421909227292
1.3667344665564,363.008436802506,1.65505303142918,2.53860536209682,-3.41019755942333,-3.54607659274502
1.37680734260941,364.337520800174,2.16088215856416,2.70040306971377,-3.83567308117715,-3.76767522739854
1.37083057839699,363.550083692535,1.14533471812048,2.76809867900476,-3.15452212088082,-3.93219871487215
1.37892991945427,364.616347443181,2.26838150897682,2.47034903862905,-3.63721893163371,-3.34586351358573
1.40575100183682,368.10311391712,2.24212657647057,3.39892275083923,-3.33986149551209,-3.91210363025797
1.42050989052813,369.993514865782,2.0376076684439,3.20236911765276,-3.44704164787609,-3.32108082404964
1.39585952219379,366.825016737461,1.8092260979401,2.53003202310656,-3.28035990156124,-3.20807997542059
1.43645326145663,372.013687994677,1.8245812191777,2.82249459333813,-3.99730203781484,-4.29291038175606
1.48489720754088,378.017184113269,1.97618771817182,3.32579874161193,-3.8099053830173,-4.61791629936525
1.35673115709357,361.678802134552,2.15226168306809,2.82826487240563,-3.19569328288872,-4.41010311839904
1.34587486569274,360.224650625865,1.94868617169773,2.29027636409404,-3.41579151100923,-4.17362822272859
1.39075189265883,366.161499767571,1.60705408076405,2.779449448535,-3.75457626166884,-4.04401714481533
1.34688153618506,360.35998211554,2.18298620245656,1.96032873766406,-3.66103395248616,-4.05113645374927
1.39453934872508,366.653749885144,1.67065867432907,2.78785401546985,-4.28003224481738,-3.33639878591984
1.36195611921378,362.374519745301,2.25243199742414,1.91739240912653,-3.64621299942102,-4.60445526008052
1.39109745794322,366.206467922863,1.21939591147496,2.82884669378106,-3.74724412331396,-4.19796211848172
1.34633511729788,360.286536988273,1.74570155504229,2.45814706185276,-3.56073877850413,-4.09607216021921
1.39569310244025,366.803435933174,1.63584807371807,3.01779077399711,-3.47576767566931,-3.49161670024141
1.50882003423719,380.909991584642,2.1879709964671,3.15087480669886,-4.12793135533717,-4.78854116972223
1.3723097216955,363.745279660433,1.54021349621311,2.88449008297683,-3.22513498014459,-4.4207082699432
1.37896168126749,364.620516488978,1.58709324119261,2.87711850958213,-3.42466830574687,-3.72131237400197
1.39184056129957,366.303129587453,2.171443115686,3.09817807206504,-3.1244483167334,-4.1311107058917
1.42763472946932,370.899085832474,1.16497196124889,3.23234855532167,-3.50027034258606,-4.27130298314359
1.37488382846166,364.084471968889,1.89086839694904,2.83387557952293,-3.45467578706657,-4.07511838573256
1.36059216994071,362.193164035239,1.08759942590643,2.70578384969016,-3.47740279616266,-4.1171913323492
1.51353615843634,381.474861585695,1.31599679237645,3.33629536209733,-4.14200174743368,-4.01208834709185
1.33847204792602,359.226334494814,1.82926560380277,2.59929734051436,-3.41021320102237,-3.87918909079187
1.36907972729655,363.318759264392,1.93746061491329,2.36466188363055,-3.05070015029954,-4.80932531925572
